,,,,,,,,,,,,,,,,,,,
CAFÉ ARÁBICA - BRASIL,,,,,,,,,,,,,,,,,,,
SÉRIE HISTÓRICA DE ÁREA EM FORMAÇÃO,,,,,,,,,,,,,,,,,,,
SAFRAS 2008 A 2019,,,,,,,,,,,,,,,,,,,
Em hectares,,,,,,,,,,,,,,,,,,,
UNIDADE FEDERAÇÃO/REGIÃO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 (¹)
NORTE,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
RO,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
PA,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
NORDESTE,,,,,,,," 3,171.0 "," 4,866.0 "," 7,287.0 "," 6,709.0 "," 4,448.0 "," 7,239.4 "," 8,007.4 "," 11,975.0 "," 9,686.0 "," 10,575.0 "," 4,587.0 "," 9,500.0 "
BA,,,,,,,," 3,171.0 "," 4,866.0 "," 7,287.0 "," 6,709.0 "," 4,448.0 "," 7,239.4 "," 8,007.4 "," 11,775.0 "," 9,686.0 "," 10,575.0 "," 4,587.0 "," 9,500.0 "
Cerrado,,,,,,,, - ," 3,214.0 "," 3,041.0 "," 3,690.0 "," 2,183.0 "," 3,052.0 "," 3,820.0 "," 5,058.0 "," 2,829.0 "," 3,350.0 ", 937.0 ," 2,300.0 "
Planalto,,,,,,,, - ," 1,652.0 "," 4,246.0 "," 3,019.0 "," 2,265.0 "," 4,187.4 "," 4,187.4 "," 6,717.0 "," 6,857.0 "," 7,225.0 "," 3,650.0 "," 7,200.0 "
Atlântico,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
CENTRO-OESTE,,,,,,,, 504.0 , 115.0 , 115.0 , 252.0 ," 1,736.0 "," 1,545.0 "," 1,621.0 "," 1,378.0 "," 1,756.5 "," 1,906.0 "," 2,155.0 "," 1,539.0 "
MT,,,,,,,, 504.0 , 115.0 , 115.0 , 252.0 , 29.0 , 50.0 , 50.0 , 50.0 , - , 8.0 , 10.0 , - 
GO,,,,,,,, - , - , - , - ," 1,707.0 "," 1,495.0 "," 1,571.0 "," 1,328.0 "," 1,756.5 "," 1,898.0 "," 2,145.0 "," 1,539.0 "
