"region","UF","year","avgtmp","tmax","tmin","pmax","pmin","drought_percent","drought","total"
"Acre","AC",1991,26.12440518,31.38928608,20.90714323,507.2000122,8.800000191,0.095238095,16,168
"Acre","AC",1992,26.34642893,31.60238129,21.13869091,356.6000061,15.80000019,0.071428571,12,168
"Acre","AC",1993,26.09702412,31.36785757,20.87559564,449.3000183,12.90000057,0.119047619,20,168
"Acre","AC",1994,26.41785756,31.69940527,21.18333371,774.5,15.60000038,0.095238095,16,168
"Acre","AC",1995,26.50238136,31.77381003,21.27500035,324.8000183,16.89999962,0.077380952,13,168
"Acre","AC",1996,26.10535754,31.37678616,20.87797662,467.3000183,5.800000191,0.089285714,15,168
"Acre","AC",1997,26.52321474,31.79464341,21.29583381,490.8000183,7.700000286,0.119047619,20,168
"Acre","AC",1998,26.8529765,32.12440543,21.62559566,701.1000366,9.199999809,0.19047619,32,168
"Acre","AC",1999,25.93630993,31.20654806,20.70952411,671,1.800000072,0.071428571,12,168
"Acre","AC",2000,26.21190514,31.48511949,20.98392891,783.6000366,17.5,0.107142857,18,168
"Acre","AC",2001,26.11190511,31.38511957,20.88452416,681.2000122,5.700000286,0.154761905,26,168
"Acre","AC",2002,26.33095272,31.60714341,21.10119084,726.7000122,6.099999905,0.166666667,28,168
"Acre","AC",2003,26.1517861,31.4255957,20.92261945,616.5,1.800000072,0.089285714,15,168
"Acre","AC",2004,26.43392888,31.70654811,21.20535752,409.1000061,22,0.05952381,10,168
"Acre","AC",2005,26.3898814,31.6625005,21.16428614,341.3000183,3.799999952,0.148809524,25,168
"Acre","AC",2006,26.28809576,31.56309573,21.05833371,626.2000122,27,0.047619048,8,168
"Acre","AC",2007,26.12500042,31.40297666,20.89285763,371.7000122,3.600000143,0.113095238,19,168
"Acre","AC",2008,26.13095281,31.40773866,20.90178611,517.5,4.900000095,0.083333333,14,168
"Acre","AC",2009,26.43095272,31.69345286,21.21488132,453.1000061,22.39999962,0.041666667,7,168
"Acre","AC",2010,26.63452415,31.90654822,21.40773853,646.2999878,7.400000095,0.119047619,20,168
"Acre","AC",2011,26.32916707,31.60297658,21.1011909,451.3999939,3.600000143,0.130952381,22,168
"Acre","AC",2012,26.39583376,31.66488145,21.17440517,341.8999939,11.80000019,0.119047619,20,168
"Acre","AC",2013,26.24523846,31.50952425,21.02857179,365.8999939,13.90000057,0.041666667,7,168
"Acre","AC",2014,26.45416704,31.71369106,21.2404766,421.3000183,22.89999962,0.047619048,8,168
"Acre","AC",2015,26.90238135,32.1702386,21.68035752,401.6000061,22,0.053571429,9,168
"Acre","AC",2016,26.80714331,32.08154827,21.58035753,413.2000122,15.10000038,0.095238095,16,168
"Acre","AC",2017,26.69761944,31.9565481,21.48452425,359.7000122,5.099999905,0.095238095,16,168
"Alagoas","AL",1991,24.37916724,29.19166716,19.62083364,174.1999969,0,0.5,12,24
"Alagoas","AL",1992,24.42083367,29.23333391,19.66250038,115.2000046,1.399999976,0.458333333,11,24
"Alagoas","AL",1993,24.93750024,29.75000056,20.17916703,77.40000153,7.200000286,0.708333333,17,24
"Alagoas","AL",1994,24.57916713,29.39166697,19.82083376,277.8999939,6.400000095,0.375,9,24
"Alagoas","AL",1995,24.65000033,29.46250041,19.89166705,161.4000092,1.200000048,0.583333333,14,24
"Alagoas","AL",1996,24.58750041,29.40000057,19.82916705,211.1999969,3.799999952,0.458333333,11,24
"Alagoas","AL",1997,24.64583365,29.45833389,19.88750052,167.6999969,2.700000048,0.541666667,13,24
"Alagoas","AL",1998,25.38750045,30.20000037,20.62916716,114.5,2.900000095,0.625,15,24
