"region","BIO_1_Annual Mean Temp","BIO_5_Max Temp of Warmest Month","BIO_6_Min Temp of Coldest Month","BIO_13_Precipitation of Wettest Month","BIO_14_Precipitation of Driest Month","BIO_17_Precipitation of Driest Quarter","total","drought","drought_percent"
"Acre",280.44,349.93,210.945,306.095,31.24,155.785,200,0,0
"Alagoas",259.059880239521,329.149700598802,195.568862275449,118.059880239521,18.6826347305389,69.065868263473,167,10,0.0598802395209581
"Amapá",279.575418994413,342.95530726257,231.614525139665,498,48.2234636871508,190.340782122905,179,0,0
"Amazonas",288.9,355.89,230.94,353.51,76.455,299.755,200,4,0.02
"Bahia",258.191011235955,340.865168539326,171.061797752809,187.191011235955,7.93820224719101,34.5561797752809,178,131,0.735955056179775
"Ceará",277.497237569061,348.270718232044,212.243093922652,251.961325966851,3,12.5911602209945,181,181,1
"Distrito Federal",239.995,320.34,152.71,333.72,3.65,14.315,200,200,1
"Espírito Santo",247.848484848485,323.181818181818,166,263.939393939394,26.3030303030303,102.272727272727,33,0,0
"Goiás",268.23,354.57,174.375,332.05,4.98,20.485,200,175,0.875
"Maranhão",289.310526315789,365.421052631579,220.505263157895,294.805263157895,7.71052631578947,31.9947368421053,190,141,0.742105263157895
"Mato Grosso",275.97,370.635,178.115,319.67,6.02,37.655,200,125,0.625
"Mato Grosso do Sul",263.025,347.885,161.475,221.64,22.785,108.155,200,0,0
"Minas Gerais",243.838383838384,324.909090909091,145.409090909091,282.959595959596,8.45959595959596,35.7626262626263,198,131,0.661616161616162
"Pará",287.524861878453,361.524861878453,225.209944751381,387.370165745856,26.1988950276243,109.160220994475,181,41,0.226519337016575
"Paraíba",269.683673469388,346.969387755102,197.40306122449,163.311224489796,6.77040816326531,25.4336734693878,196,161,0.821428571428571
"Paraná",215.184615384615,312.041025641026,111.215384615385,218.158974358974,55.3487179487179,235.394871794872,195,0,0
"Pernambuco",257.131979695431,335.954314720812,185.984771573604,128.131979695431,8.46700507614213,31.7106598984772,197,136,0.690355329949239
"Piauí",285.37,363.99,211.825,241.43,3.43,15.285,200,181,0.905
"Rio de Janeiro",227.46511627907,306.313953488372,135.656976744186,265.174418604651,21.2790697674419,79.3197674418605,172,0,0
"Rio Grande do Norte",280.681818181818,345.170454545455,219.988636363636,230.579545454545,4.44318181818182,17.2045454545455,88,82,0.931818181818182
"Rio Grande do Sul",205.455056179775,318.219101123596,105.516853932584,174.629213483146,90.7134831460674,320.348314606742,178,0,0
"Rondônia",280.115,370.5,202.17,310.905,7.615,66.41,200,34,0.17
"Roraima",285.36,345.255,229.26,420.615,61.235,224.79,200,0,0
"Santa Catarina",263.67,356.26,171.535,284.305,25.95,111.025,200,72,0.36
"São Paulo",230.09604519774,312.627118644068,126.587570621469,256.446327683616,25.5875706214689,111.570621468927,177,9,0.0508474576271186
"Sergipe",263.375,331.125,199.13125,130.56875,21.45,82.10625,160,0,0
"Tocantins",286.73,373.73,206.595,295.505,2.915,15.035,200,189,0.945
