region,year,avgtmp,tmax,tmin,avgprecip,totalprecip,pmax,pmin,total,drought,drought_percent,UF,,,,
Acre,1991,26.12440518,31.38928608,20.90714323,179.7654794,30200.60054,507.2000122,8.800000191,168,16,0.095238095,AC,,,,
Acre,1992,26.34642893,31.60238129,21.13869091,163.8660747,27529.50055,356.6000061,15.80000019,168,12,0.071428571,AC,,,,
Acre,1993,26.09702412,31.36785757,20.87559564,180.4863133,30321.70063,449.3000183,12.90000057,168,20,0.119047619,AC,,,,
Acre,1994,26.41785756,31.69940527,21.18333371,202.2761935,33982.40051,774.5,15.60000038,168,16,0.095238095,AC,,,,
Acre,1995,26.50238136,31.77381003,21.27500035,140.6101214,23622.50039,324.8000183,16.89999962,168,13,0.077380952,AC,,,,
Acre,1996,26.10535754,31.37678616,20.87797662,180.8797648,30387.80049,467.3000183,5.800000191,168,15,0.089285714,AC,,,,
Acre,1997,26.52321474,31.79464341,21.29583381,171.9994079,28895.90053,490.8000183,7.700000286,168,20,0.119047619,AC,,,,
Acre,1998,26.8529765,32.12440543,21.62559566,188.6023845,31685.2006,701.1000366,9.199999809,168,32,0.19047619,AC,,,,
Acre,1999,25.93630993,31.20654806,20.70952411,227.9690517,38298.80069,671,1.800000072,168,12,0.071428571,AC,,,,
Acre,2000,26.21190514,31.48511949,20.98392891,216.3535749,36347.40058,783.6000366,17.5,168,18,0.107142857,AC,,,,
Acre,2001,26.11190511,31.38511957,20.88452416,214.4750029,36031.80048,681.2000122,5.700000286,168,26,0.154761905,AC,,,,
Acre,2002,26.33095272,31.60714341,21.10119084,212.4934562,35698.90064,726.7000122,6.099999905,168,28,0.166666667,AC,,,,
Acre,2003,26.1517861,31.4255957,20.92261945,203.0005988,34104.1006,616.5,1.800000072,168,15,0.089285714,AC,,,,
Acre,2004,26.43392888,31.70654811,21.20535752,185.4541693,31156.30044,409.1000061,22,168,10,0.05952381,AC,,,,
Acre,2005,26.3898814,31.6625005,21.16428614,157.5464312,26467.80045,341.3000183,3.799999952,168,25,0.148809524,AC,,,,
Acre,2006,26.28809576,31.56309573,21.05833371,189.7017898,31869.90069,626.2000122,27,168,8,0.047619048,AC,,,,
Acre,2007,26.12500042,31.40297666,20.89285763,175.271431,29445.60041,371.7000122,3.600000143,168,19,0.113095238,AC,,,,
Acre,2008,26.13095281,31.40773866,20.90178611,190.7964314,32053.80047,517.5,4.900000095,168,14,0.083333333,AC,,,,
Acre,2009,26.43095272,31.69345286,21.21488132,190.3202416,31973.80059,453.1000061,22.39999962,168,7,0.041666667,AC,,,,
Acre,2010,26.63452415,31.90654822,21.40773853,185.0404793,31086.80052,646.2999878,7.400000095,168,20,0.119047619,AC,,,,
