,,,,,,,,,,,,,,,,,,,
CAFÉ ARÁBICA - BRASIL,,,,,,,,,,,,,,,,,,,
SÉRIE HISTÓRICA DE PRODUÇÃO,,,,,,,,,,,,,,,,,,,
SAFRAS 2008 A 2019,,,,,,,,,,,,,,,,,,,
Em mil sacas beneficiadas,,,,,,,,,,,,,,,,,,,
UNIDADE FEDERAÇÃO/REGIÃO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 (¹)
NORTE, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
RO, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
PA, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
NORDESTE," 1,700.0 "," 1,750.0 "," 1,410.0 "," 1,877.0 "," 1,407.0 "," 1,725.0 "," 1,686.0 "," 1,565.5 "," 1,331.5 "," 1,727.9 "," 1,548.9 "," 1,336.5 "," 1,079.9 "," 1,331.3 "," 1,162.3 "," 1,267.2 ", 978.0 ," 1,880.2 "," 1,236.5 "
BA," 1,700.0 "," 1,750.0 "," 1,410.0 "," 1,877.0 "," 1,407.0 "," 1,725.0 "," 1,686.0 "," 1,565.5 "," 1,331.5 "," 1,727.9 "," 1,548.9 "," 1,336.5 "," 1,079.9 "," 1,331.3 "," 1,162.3 "," 1,267.2 ", 978.0 ," 1,880.2 "," 1,236.5 "
Cerrado, - , - , - , - , - , - , - , - , 436.0 , 485.5 , 429.0 , 527.7 , 398.8 , 435.1 , 338.0 , 345.6 , 288.0 , 497.2 , 332.5 
Planalto, - , - , - , - , - , - , - , - , 895.5 ," 1,242.4 "," 1,119.9 ", 808.8 , 681.1 , 896.2 , 824.3 , 921.6 , 690.0 ," 1,383.0 ", 904.0 
Atlântico, - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,
CENTRO-OESTE, 40.0 , 60.0 , 30.0 , 30.0 , 40.0 , 25.0 , 11.4 , 12.0 , 11.0 , 16.3 , 11.0 , 249.9 , 267.1 , 238.6 , 227.9 , 228.1 , 191.3 , 196.3 , 235.9 
MT, 40.0 , 60.0 , 30.0 , 30.0 , 40.0 , 25.0 , 11.4 , 12.0 , 11.0 , 16.3 , 11.0 , 2.5 , 1.6 , 2.0 , 1.7 , 1.3 , 1.10 , 0.90 , -  
