,,,,,,,,,,,,,,,,,,,
CAFÉ ARÁBICA - BRASIL,,,,,,,,,,,,,,,,,,,
SÉRIE HISTÓRICA DE ÁREA EM PRODUÇÃO,,,,,,,,,,,,,,,,,,,
SAFRAS 2008 A 2019,,,,,,,,,,,,,,,,,,,
Em hectares,,,,,,,,,,,,,,,,,,,
UNIDADE FEDERAÇÃO/REGIÃO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 (¹)
NORTE,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
RO,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
PA,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
NORDESTE,,,,,,,," 103,340.4 "," 103,461.0 "," 115,617.0 "," 113,894.5 "," 113,779.0 "," 110,332.2 "," 111,339.0 "," 103,450.0 "," 103,861.0 "," 94,871.0 "," 82,300.0 "," 75,500.0 "
BA,,,,,,,," 103,340.4 "," 103,461.0 "," 115,617.0 "," 113,894.5 "," 113,779.0 "," 110,332.2 "," 111,339.0 "," 103,450.0 "," 103,861.0 "," 94,871.0 "," 82,300.0 "," 75,500.0 "
Cerrado,,,,,,,, - ," 12,088.0 "," 12,273.0 "," 11,556.5 "," 12,918.0 "," 11,858.5 "," 11,973.0 "," 9,129.0 "," 11,328.0 "," 9,670.0 "," 11,300.0 "," 9,500.0 "
Planalto,,,,,,,, - ," 91,373.0 "," 103,344.0 "," 102,338.0 "," 100,861.0 "," 98,473.7 "," 99,366.0 "," 94,321.0 "," 92,533.0 "," 85,201.0 "," 71,000.0 "," 66,000.0 "
Atlântico,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
CENTRO-OESTE,,,,,,,," 1,425.0 "," 1,216.0 "," 1,216.0 "," 1,591.0 "," 6,456.0 "," 6,467.6 "," 6,271.8 "," 6,286.0 "," 5,696.6 "," 5,561.0 "," 5,950.0 "," 6,565.0 "
MT,,,,,,,," 1,425.0 "," 1,216.0 "," 1,216.0 "," 1,591.0 ", 136.0 , 85.0 , 135.0 , 111.0 , 70.0 , 45.0 , 45.0 , - 
