,,,,,,,,,,,,,,,,,,,
CAFÉ ARÁBICA - BRASIL,,,,,,,,,,,,,,,,,,,
SÉRIE HISTÓRICA DE PRODUTIVIDADE,,,,,,,,,,,,,,,,,,,
SAFRAS 2008 A 2019,,,,,,,,,,,,,,,,,,,
Em sacas por hectare,,,,,,,,,,,,,,,,,,,
UNIDADE FEDERAÇÃO/REGIÃO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 (¹)
NORTE,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
RO,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
PA,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - 
NORDESTE,,,,,,,, 15.15 , 12.87 , 14.95 , 13.60 , 11.75 , 9.79 , 11.96 , 11.19 , 12.20 , 10.31 , 22.85 , 16.38 
BA,,,,,,,, 15.15 , 12.87 , 14.95 , 13.60 , 11.75 , 9.79 , 11.96 , 11.24 , 12.20 , 10.31 , 22.85 , 16.38 
Cerrado,,,,,,,, - , 36.07 , 39.56 , 37.12 , 40.85 , 33.63 , 36.34 , 37.00 , 35.74 , 25.47 , 52.34 , 35.00 
Planalto,,,,,,,, - , 9.80 , 12.02 , 10.94 , 8.02 , 6.92 , 9.02 , 8.74 , 9.96 , 8.10 , 19.48 , 13.70 
Atlântico,,,,,,,, - , - , - , - , - , - , - , - , - , - , - ,#DIV/0!
CENTRO-OESTE,,,,,,,, 8.42 , 9.05 , 13.40 , 6.91 , 38.71 , 41.30 , 38.04 , 36.26 , 40.04 , 34.40 , 32.99 , 35.94 
MT,,,,,,,, 8.42 , 9.05 , 13.40 , 6.91 , 18.38 , 18.82 , 14.81 , 15.32 , 18.29 , 24.44 , 20.00 ,#DIV/0!
GO,,,,,,,, - , - , - , - , 39.15 , 41.60 , 38.55 , 36.63 , 40.31 , 34.48 , 33.09 , 35.94 
SUDESTE,,,,,,,, 21.54 , 18.98 , 24.11 , 21.14 , 25.56 , 25.65 , 22.38 , 22.23 , 29.93 , 23.89 , 32.46 , 25.59 
MG,,,,,,,, 22.50 , 19.93 , 25.10 , 22.16 , 22.16 , 26.72 , 22.77 , 22.99 , 30.53 , 24.90 , 33.12 , 26.73 
Sul e Centro-Oeste,,,,,,,, 21.97 , 19.25 , 24.75 , 20.67 , 26.62 , 25.62 , 21.56 , 22.61 , 31.72 , 27.56 , 34.80 , 29.84 
"Triângulo, Alto Paranaiba e Noroeste",,,,,,,, 28.56 , 24.26 , 34.84 , 24.83 , 36.99 , 30.77 , 33.06 , 24.81 , 40.43 , 21.54 , 37.73 , 26.40 
"Zona da Mata, Rio Doce e Central",,,,,,,, 20.50 , 18.85 , 20.73 , 23.29 , 20.27 , 27.01 , 18.53 , 22.93 , 22.54 , 22.88 , 27.04 , 21.56 
"Norte, Jequitinhonha e Mucuri",,,,,,,, - , - , - , - , - , 20.54 , 22.05 , 18.97 , 18.10 , 17.94 , 28.67 , 24.28 
ES,,,,,,,, 14.67 , 14.09 , 15.39 , 17.85 , 16.40 , 20.50 , 19.03 , 19.58 , 26.21 , 19.65 , 30.34 , 21.65 
RJ,,,,,,,, 19.64 , 19.05 , 19.09 , 20.21 , 19.83 , 21.17 , 22.87 , 24.69 , 26.68 , 26.74 , 28.76 , 27.80 
SP,,,,,,,, 23.45 , 18.81 , 28.05 , 18.35 , 30.59 , 24.70 , 22.98 , 20.42 , 29.97 , 21.99 , 31.11 , 22.93 
SUL,,,,,,,, 26.91 , 17.22 , 27.65 , 24.64 , 23.52 , 25.33 , 16.80 , 28.99 , 22.68 , 27.97 , 26.67 , 28.07 
PR,,,,,,,, 26.91 , 17.22 , 27.65 , 24.64 , 23.52 , 25.33 , 16.80 , 28.99 , 22.68 , 27.97 , 26.67 , 28.07 
OUTROS,,,,,,,, 21.74 , 19.03 , 19.06 , 20.46 , 9.10 , 9.90 , 8.53 , 10.66 , 11.03 , 9.12 , 8.42 , 11.12 
NORTE/NORDESTE,,,,,,,, 15.15 , 12.87 , 14.95 , 13.60 , 11.75 , 9.79 , 11.96 , 11.24 , 12.20 , 10.31 , 22.85 , 16.38 
CENTRO-SUL,,,,,,,, 21.86 , 18.87 , 24.30 , 21.31 , 25.52 , 25.71 , 22.32 , 22.51 , 29.74 , 24.06 , 32.31 , 25.71 
BRASIL,,,,,,,, 21.44 , 18.47 , 23.59 , 20.73 , 24.38 , 24.45 , 21.45 , 21.66 , 28.43 , 23.12 , 31.72 , 25.16 
Legenda: (¹) - Estimativa em maio/2019.,,,,,,,,,,,,,,,,,,,
Fonte: Conab.,,,,,,,,,,,,,,,,,,,
